股票编号,日期,流动资产,速动资产,流动负债
00002,2018-12,509200.0,3110500.0,3648000.0
00002,2018-06,506300.0,2812200.0000000005,2999200.0
00002,2017-12,503300.0,2817900.0,3045600.0
00002,2017-06,267900.0,2197100.0,2608600.0
00002,2016-12,229400.0,2075100.0,3340100.0
00002,2016-06,231600.0,1996000.0,3331500.0
00002,2015-12,260500.0,1866200.0,3207600.0
00002,2015-06,296800.0,1996200.0,3429500.0
00003,2018-12,217399.99999999997,1806000.0,2291300.0
00003,2018-06,202500.0,2111800.0,2772300.0
00003,2017-12,215500.0,2036800.0,2670600.0
00003,2017-06,195000.0,1793600.0000000002,1876000.0
00003,2016-12,188800.0,1893800.0,1748500.0
00003,2016-06,180300.0,1914100.0,1675300.0
00003,2015-12,192000.0,1979900.0,1942000.0
00003,2015-06,183299.99999999997,1970000.0,1810100.0
00004,2018-12,4026500.0,5720100.0,3913500.0
00004,2018-06,3780000.0,5376400.0,4108800.0
00004,2017-12,2106500.0,6369500.0,3266700.0
00004,2017-06,1724000.0,4705300.0,4451800.0
00004,2016-12,2138100.0,5856600.0,5396400.0
00004,2016-06,2747300.0,4870500.0,4972400.0
00004,2015-12,3168000.0,5498700.0,4344100.0
00004,2015-06,3446200.0,5176100.0,4199700.0
00008,2018-12,179600.0,1881500.0,1278600.0
00008,2018-06,100600.0,1936399.9999999998,1930800.0000000002
00008,2017-12,76200.0,2360600.0,1238400.0
00008,2017-06,93500.0,2386000.0,1234300.0
00008,2016-12,84400.0,1835000.0,1259800.0
00008,2016-06,99400.0,1751100.0000000002,1391500.0
00008,2015-12,64800.00000000001,1687200.0,1465500.0
00008,2015-06,79300.0,1590900.0,1947600.0
00009,2018-12,79200.0,113900.0,86700.0
00009,2018-06,73400.0,89100.0,59900.0
00009,2017-12,84200.0,95800.0,56900.00000000001
00009,2017-06,86300.00000000001,95500.0,72200.0
00009,2016-12,92600.0,99700.0,53000.0
00009,2016-06,96000.0,100600.0,42600.0
00009,2015-12,90000.0,100700.0,39000.0
00009,2015-06,88400.0,118600.0,32400.000000000004
00010,2018-12,215799.99999999997,1338899.9999999998,909200.0
00010,2018-06,108300.0,1525200.0,1006100.0
00010,2017-12,136600.0,1903400.0,895900.0
00010,2017-06,162000.0,2264300.0,904700.0
00010,2016-12,212399.99999999997,2760100.0,743400.0
00010,2016-06,270600.0,2941500.0,960900.0
00010,2015-12,322700.00000000006,3058200.0,1220600.0
00010,2015-06,311900.0,3289200.0,1387800.0
00012,2018-12,8514600.0,11756800.0,5460000.0
00012,2018-06,7990700.000000001,11341000.0,4373200.0
00012,2017-12,6152500.0,10175200.0,4179400.0
00012,2017-06,6456000.0,10270200.0,4074800.0
00012,2016-12,6730500.0,10553100.0,3798200.0
00012,2016-06,6827500.0,9697000.0,3398800.0
00012,2015-12,6832600.0,9153500.0,2706400.0
00012,2015-06,6262800.0,8445900.0,2435400.0
00015,2018-09,85500.0,260300.0,202000.0
00015,2018-03,87000.0,264700.0,178400.0
00015,2017-09,100399.99999999999,282000.0,198400.0
00015,2017-03,104400.0,291800.0,199300.0
00015,2016-09,97800.0,234899.99999999997,191500.0
00015,2016-03,90800.0,230000.0,120000.0
00015,2015-09,48000.0,170300.0,135800.0
00015,2015-03,42500.0,138800.0,121400.0
00016,2018-12,15911000.0,20246100.0,5764400.000000001
00016,2018-06,14990900.0,18993500.0,5601100.0
00016,2017-12,12716700.0,17584100.0,4682000.0
00016,2017-06,12745700.0,17075300.0,4424000.0
00016,2016-12,12346500.0,17658700.0,5045200.0
00016,2016-06,12430300.0,17232700.0,5048600.0
