股票代码,时间,开盘价,最高价,最低价,收盘价,涨跌幅,换手率
00001,2019-04,83.05,86.45,82.6,84.25,1.8,1.4
00001,2019-03,75.25,84.85,72.8,82.45,7.25,9.42
00001,2018-12,90.5,90.5,74.65,75.2,-15.0,9.22
00001,2018-09,81.2113,92.5,79.8247,90.2,7.81,9.1
00001,2018-06,90.0598,91.125,81.4093,82.3997,-8.51,8.08
00001,2018-03,94.9985,103.6171,90.7376,90.9313,-4.07,9.98
00001,2017-12,96.6448,99.5499,92.4807,94.9985,-1.73,7.08
00001,2017-09,93.2128,104.6482,92.2519,96.6932,2.51,8.14
00001,2017-06,90.0771,98.4981,87.7203,94.1738,4.04,7.46
00001,2017-03,83.7608,92.3396,82.9595,90.1242,7.26,8.27
00001,2016-12,94.2251,94.7436,82.0168,82.8653,-10.07,8.43
00001,2016-09,79.5551,97.9488,75.5773,92.9524,13.8,10.4
00001,2016-06,92.1696,93.3619,75.4369,79.1339,-13.2,13.27
00001,2016-03,95.4712,95.7464,84.1908,92.3531,-3.54,9.1
00001,2015-12,93.7287,100.4236,90.9774,95.9298,4.01,8.04
00001,2015-09,102.9327,106.3941,88.8136,91.8945,-12.48,0.14
00001,2015-06,143.9235,159.3179,100.1999,103.7525,1.95,0.0
00001,2015-03,116.9784,147.5672,111.2634,144.6523,25.55,0.0
00002,2019-04,91.2,91.7,89.35,89.9,-1.1,0.86
00002,2019-03,87.9593,96.153,85.4913,91.0,3.6469,6.68
00002,2018-12,89.9347,89.9347,82.9262,87.367,-2.4596,8.6
00002,2018-09,81.7936,95.0809,81.1607,89.8367,7.5777,8.18
00002,2018-06,77.4123,82.4752,76.4459,82.2805,5.0733,6.23
00002,2018-03,76.1538,78.572,71.4864,77.219,1.0736,7.92
00002,2017-12,75.2609,77.2937,73.963,76.1538,0.4807,5.2
00002,2017-09,78.0575,79.7004,75.2609,75.6864,-1.8764,5.61
00002,2017-06,76.4455,80.1697,73.5089,77.5412,1.7718,5.66
00002,2017-03,66.4702,76.3989,66.0565,75.7463,10.2237,6.66
00002,2016-12,73.3576,73.6769,65.0911,65.5049,-7.6407,7.28
00002,2016-09,72.2454,76.4126,70.9772,73.1295,1.5386,7.4
00002,2016-06,63.3692,72.4266,61.7962,71.566,8.5169,9.44
